# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0305          	4.69446146e-02	-6.34951634e-21	-1.04692471e-01	-4.22065010e-21	-4.45204028e-03	-6.95667272e-23	2.34723073e-02	2.34723073e-02	-3.24432490e-21	-3.10519144e-21	-5.67982756e-02	-4.78941951e-02
0.031           	4.69436747e-02	-6.34681485e-21	-1.04371736e-01	-4.22154679e-21	-4.43429695e-03	-6.97242378e-23	2.34718374e-02	2.34718374e-02	-3.24313166e-21	-3.10368319e-21	-5.66201649e-02	-4.77515710e-02
0.0315          	4.69426074e-02	-6.34105535e-21	-1.04184042e-01	-4.21862071e-21	-4.41596295e-03	-6.97169700e-23	2.34713037e-02	2.34713037e-02	-3.24024465e-21	-3.10081071e-21	-5.65079841e-02	-4.76760582e-02
0.032           	4.69413680e-02	-6.34079551e-21	-1.04162967e-01	-4.21838155e-21	-4.39759472e-03	-6.97136578e-23	2.34706840e-02	2.34706840e-02	-3.24011141e-21	-3.10068410e-21	-5.64790781e-02	-4.76838887e-02
0.0325          	4.69400784e-02	-6.33620662e-21	-1.03922721e-01	-4.21692425e-21	-4.37922101e-03	-6.97705599e-23	2.34700392e-02	2.34700392e-02	-3.23787387e-21	-3.09833275e-21	-5.63405813e-02	-4.75821392e-02
0.033           	4.69393299e-02	-6.33652968e-21	-1.03740087e-01	-4.21879804e-21	-4.36039283e-03	-6.98970609e-23	2.34696650e-02	2.34696650e-02	-3.23816190e-21	-3.09836778e-21	-5.62304363e-02	-4.75096506e-02
0.0335          	4.69383491e-02	-6.32837712e-21	-1.03558265e-01	-4.21386900e-21	-4.34116973e-03	-6.98302131e-23	2.34691745e-02	2.34691745e-02	-3.23401877e-21	-3.09435834e-21	-5.61203023e-02	-4.74379629e-02
0.034           	4.69370411e-02	-6.32451138e-21	-1.03432159e-01	-4.21180990e-21	-4.32188066e-03	-6.98206858e-23	2.34685206e-02	2.34685206e-02	-3.23207638e-21	-3.09243501e-21	-5.60379604e-02	-4.73941990e-02
0.0345          	4.69357130e-02	-6.32005941e-21	-1.03171604e-01	-4.21069936e-21	-4.30241119e-03	-6.98961382e-23	2.34678565e-02	2.34678565e-02	-3.22992584e-21	-3.09013357e-21	-5.58882132e-02	-4.72833908e-02
0.035           	4.69347145e-02	-6.32108811e-21	-1.02887296e-01	-4.21432000e-21	-4.28246391e-03	-7.01144937e-23	2.34673572e-02	2.34673572e-02	-3.23065855e-21	-3.09042956e-21	-5.57261121e-02	-4.71611843e-02
