# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.017           	3.23553537e+00	1.52081540e-20	-9.87414576e-01	2.48022319e-21	-7.89554046e-03	2.53110940e-21	1.61776769e+00	1.61776769e+00	1.01351864e-20	5.07296759e-21	-5.01602828e-01	-4.85811747e-01
0.0175          	3.23630200e+00	1.52137771e-20	-9.89231962e-01	2.48273873e-21	-7.83658756e-03	2.53652095e-21	1.61815100e+00	1.61815100e+00	1.01434095e-20	5.07036760e-21	-5.02452568e-01	-4.86779393e-01
0.018           	3.23605423e+00	1.52077990e-20	-9.89799149e-01	2.48253170e-21	-7.77731707e-03	2.53820771e-21	1.61802711e+00	1.61802711e+00	1.01421072e-20	5.06569177e-21	-5.02676892e-01	-4.87122257e-01
0.0185          	3.23639521e+00	1.51776163e-20	-9.93630919e-01	2.49043443e-21	-7.71752258e-03	2.54360231e-21	1.61819761e+00	1.61819761e+00	1.01324105e-20	5.04520586e-21	-5.04532982e-01	-4.89097937e-01
0.019           	3.23724643e+00	1.51903264e-20	-9.95436926e-01	2.49298691e-21	-7.65682546e-03	2.54882574e-21	1.61862322e+00	1.61862322e+00	1.01439889e-20	5.04633744e-21	-5.05375289e-01	-4.90061638e-01
0.0195          	3.23902810e+00	1.51758915e-20	-9.95821879e-01	2.49426009e-21	-7.59564595e-03	2.55376388e-21	1.61951405e+00	1.61951405e+00	1.01417096e-20	5.03418187e-21	-5.05506585e-01	-4.90315293e-01
0.02            	3.23856252e+00	1.51641845e-20	-9.97815082e-01	2.49673356e-21	-7.53353758e-03	2.55659377e-21	1.61928126e+00	1.61928126e+00	1.01386860e-20	5.02549846e-21	-5.06441079e-01	-4.91374003e-01
0.0205          	3.23899282e+00	1.51577317e-20	-9.98971155e-01	2.49820082e-21	-7.47051051e-03	2.56022722e-21	1.61949641e+00	1.61949641e+00	1.01390931e-20	5.01863862e-21	-5.06956088e-01	-4.92015067e-01
0.021           	3.23982297e+00	1.51577978e-20	-1.00023226e+00	2.49980604e-21	-7.40724015e-03	2.56501059e-21	1.61991149e+00	1.61991149e+00	1.01439095e-20	5.01388830e-21	-5.07523368e-01	-4.92708887e-01
0.0215          	3.24053264e+00	1.51590335e-20	-1.00137622e+00	2.50108417e-21	-7.34349193e-03	2.56940010e-21	1.62026632e+00	1.62026632e+00	1.01489168e-20	5.01011664e-21	-5.08031602e-01	-4.93344618e-01
