# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 4.47575700e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0315          	3.24890312e+00	1.43089285e-20	-1.00289984e+00	2.59925524e-21	-5.94578709e-03	4.50463720e-21	1.62445156e+00	1.62445156e+00	1.16591014e-20	2.64982704e-21	-5.07395706e-01	-4.95504132e-01
0.032           	3.24943400e+00	1.43069387e-20	-1.00351316e+00	2.59952328e-21	-5.86992165e-03	4.50643879e-21	1.62471700e+00	1.62471700e+00	1.16599082e-20	2.64703057e-21	-5.07626499e-01	-4.95886656e-01
0.0325          	3.24979001e+00	1.43016368e-20	-1.00208115e+00	2.59454398e-21	-5.79384201e-03	4.50480522e-21	1.62489500e+00	1.62489500e+00	1.16556236e-20	2.64601316e-21	-5.06834415e-01	-4.95246731e-01
0.033           	3.25120100e+00	1.43162997e-20	-1.00096155e+00	2.59352257e-21	-5.71741524e-03	4.50507110e-21	1.62560050e+00	1.62560050e+00	1.16632210e-20	2.65307877e-21	-5.06198192e-01	-4.94763361e-01
0.0335          	3.25019456e+00	1.42822615e-20	-1.00016772e+00	2.58702196e-21	-5.64040396e-03	4.50093635e-21	1.62509728e+00	1.62509728e+00	1.16420671e-20	2.64019440e-21	-5.05724262e-01	-4.94443455e-01
0.034           	3.25041596e+00	1.42689932e-20	-9.99790356e-01	2.58424829e-21	-5.56294909e-03	4.50011117e-21	1.62520798e+00	1.62520798e+00	1.16346078e-20	2.63438543e-21	-5.05458127e-01	-4.94332229e-01
0.0345          	3.25102811e+00	1.42664024e-20	-9.98073812e-01	2.57938231e-21	-5.48519971e-03	4.49836620e-21	1.62551406e+00	1.62551406e+00	1.16315674e-20	2.63483498e-21	-5.04522106e-01	-4.93551706e-01
0.035           	3.25142590e+00	1.42940502e-20	-9.96102839e-01	2.57544264e-21	-5.40679287e-03	4.49669928e-21	1.62571295e+00	1.62571295e+00	1.16437244e-20	2.65032583e-21	-5.03458212e-01	-4.92644627e-01
0.0355          	3.25115858e+00	1.42481255e-20	-9.95659302e-01	2.57044682e-21	-5.32790053e-03	4.49389058e-21	1.62557929e+00	1.62557929e+00	1.16179533e-20	2.63017217e-21	-5.03157551e-01	-4.92501750e-01
0.036           	3.25213925e+00	1.42480930e-20	-9.94448438e-01	2.56676871e-21	-5.24861188e-03	4.49451081e-21	1.62606962e+00	1.62606962e+00	1.16185573e-20	2.62953567e-21	-5.02472831e-01	-4.91975607e-01
0.0365          	3.25187031e+00	1.42388516e-20	-9.93288022e-01	2.56251262e-21	-5.16891827e-03	4.49081242e-21	1.62593515e+00	1.62593515e+00	1.16102382e-20	2.62861337e-21	-5.01812929e-01	-4.91475093e-01
0.037           	3.25176370e+00	1.42323929e-20	-9.90890904e-01	2.55470319e-21	-5.08902879e-03	4.48723249e-21	1.62588185e+00	1.62588185e+00	1.16034289e-20	2.62896394e-21	-5.00534481e-01	-4.90356423e-01
0.0375          	3.25291039e+00	1.42413069e-20	-9.89135975e-01	2.55098654e-21	-5.00866693e-03	4.48666802e-21	1.62645519e+00	1.62645519e+00	1.16073215e-20	2.63398542e-21	-4.99576655e-01	-4.89559321e-01
0.038           	3.25267707e+00	1.42094201e-20	-9.87311464e-01	2.54347964e-21	-4.92832071e-03	4.48251747e-21	1.62633853e+00	1.62633853e+00	1.15872275e-20	2.62219257e-21	-4.98584053e-01	-4.88727411e-01
0.0385          	3.25182736e+00	1.41950479e-20	-9.84938065e-01	2.53453662e-21	-4.84716572e-03	4.47736150e-21	1.62591368e+00	1.62591368e+00	1.15748855e-20	2.62016246e-21	-4.97316198e-01	-4.87621867e-01
0.039           	3.25271707e+00	1.41873248e-20	-9.83357944e-01	2.52996219e-21	-4.76555768e-03	4.47643585e-21	1.62635854e+00	1.62635854e+00	1.15700983e-20	2.61722655e-21	-4.96444530e-01	-4.86913414e-01
0.0395          	3.25315280e+00	1.41734615e-20	-9.81419228e-01	2.52406622e-21	-4.68367856e-03	4.47366528e-21	1.62657640e+00	1.62657640e+00	1.15603960e-20	2.61306547e-21	-4.95393293e-01	-4.86025935e-01
0.04            	3.25346904e+00	1.41820670e-20	-9.79426922e-01	2.51891397e-21	-4.60120894e-03	4.47143998e-21	1.62673452e+00	1.62673452e+00	1.15624735e-20	2.61959353e-21	-4.94314670e-01	-4.85112252e-01
0.0405          	3.25299030e+00	1.41756030e-20	-9.76060840e-01	2.50914671e-21	-4.51836485e-03	4.46501607e-21	1.62649515e+00	1.62649515e+00	1.15528176e-20	2.62278542e-21	-4.92548785e-01	-4.83512055e-01
0.041           	3.25390920e+00	1.41697540e-20	-9.74442530e-01	2.50447263e-21	-4.43494893e-03	4.46447877e-21	1.62695460e+00	1.62695460e+00	1.15493558e-20	2.62039822e-21	-4.91656214e-01	-4.82786316e-01
0.0415          	3.25403633e+00	1.41635342e-20	-9.71595830e-01	2.49660031e-21	-4.35155823e-03	4.45992566e-21	1.62701817e+00	1.62701817e+00	1.15416928e-20	2.62184145e-21	-4.90149473e-01	-4.81446357e-01
0.042           	3.25451845e+00	1.41604403e-20	-9.68936897e-01	2.48986323e-21	-4.26772479e-03	4.45645266e-21	1.62725923e+00	1.62725923e+00	1.15366728e-20	2.62376751e-21	-4.88736173e-01	-4.80200724e-01
0.0425          	3.25461755e+00	1.41316129e-20	-9.67515825e-01	2.48289391e-21	-4.18296403e-03	4.45449975e-21	1.62730878e+00	1.62730878e+00	1.15203062e-20	2.61130671e-21	-4.87940877e-01	-4.79574949e-01
0.043           	3.25414319e+00	1.41129152e-20	-9.63775913e-01	2.47201494e-21	-4.09832129e-03	4.44668292e-21	1.62707159e+00	1.62707159e+00	1.15031405e-20	2.60977466e-21	-4.85986278e-01	-4.77789635e-01
0.0435          	3.25327265e+00	1.41152602e-20	-9.62045012e-01	2.46506576e-21	-4.01316827e-03	4.44369452e-21	1.62663633e+00	1.62663633e+00	1.15013246e-20	2.61393558e-21	-4.85035674e-01	-4.77009338e-01
0.044           	3.25420130e+00	1.41047897e-20	-9.59691933e-01	2.45916024e-21	-3.92759098e-03	4.44108380e-21	1.62710065e+00	1.62710065e+00	1.14934787e-20	2.61131106e-21	-4.83773557e-01	-4.75918375e-01
0.0445          	3.25452758e+00	1.41031407e-20	-9.56697134e-01	2.45138439e-21	-3.84211482e-03	4.43706658e-21	1.62726379e+00	1.62726379e+00	1.14886369e-20	2.61450375e-21	-4.82190682e-01	-4.74506452e-01
0.045           	3.25391035e+00	1.40685102e-20	-9.53435463e-01	2.44008585e-21	-3.75615261e-03	4.42998502e-21	1.62695517e+00	1.62695517e+00	1.14642401e-20	2.60427007e-21	-4.80473884e-01	-4.72961579e-01
0.0455          	3.25438545e+00	1.40708301e-20	-9.48452354e-01	2.42797940e-21	-3.67000556e-03	4.42331286e-21	1.62719273e+00	1.62719273e+00	1.14587279e-20	2.61210221e-21	-4.77896183e-01	-4.70556172e-01
0.046           	3.25442379e+00	1.40592246e-20	-9.44227496e-01	2.41672045e-21	-3.58366500e-03	4.41640639e-21	1.62721190e+00	1.62721190e+00	1.14460187e-20	2.61320592e-21	-4.75697413e-01	-4.68530083e-01
0.0465          	3.25439098e+00	1.40226432e-20	-9.44243237e-01	2.41320764e-21	-3.49660225e-03	4.41580469e-21	1.62719549e+00	1.62719549e+00	1.14271263e-20	2.59551689e-21	-4.75618221e-01	-4.68625016e-01
0.047           	3.25422789e+00	1.40275431e-20	-9.39757478e-01	2.40229841e-21	-3.40949871e-03	4.40827434e-21	1.62711395e+00	1.62711395e+00	1.14220459e-20	2.60549723e-21	-4.73288238e-01	-4.66469240e-01
